,sales
943,11
944,11
945,13
946,3
947,30
948,43
949,5
950,2
951,13
952,32
953,8
954,19
955,10
956,66
957,19
958,5
959,24
960,7
961,10
962,4
963,9
964,3
965,7
966,27
967,18
968,23
969,95
970,1
971,25
972,5
973,5
974,95
975,116
976,16
977,10
978,7
979,278
980,11
981,13
982,22
983,116
984,67
985,1
986,2
987,43
988,45
989,13
990,10
991,9
992,3
993,2
994,9
995,3
996,10
997,47
998,35
999,20
1000,9
1001,10
1002,6
1003,5
1004,25
1005,7
1006,1
1007,17
1008,1
1009,7
1010,17
1011,31
1012,3
1013,19
1014,33
1015,7
1016,3
1017,17
1018,44
1019,11
1020,2
1021,184
1022,5
1023,56
1024,39
1025,31
1026,3
1027,25
1028,7
1029,1
1030,31
1031,80
1032,17
1033,27
1034,26
1035,14
1036,2
1037,2
1038,2
1039,3
1040,5
1041,11
1042,6
1043,22
1044,1
1045,21
1046,24
1047,4
1048,63
1049,15
1050,4
1051,2
1052,30
1053,5
1054,66
1055,85
1056,19
1057,4
1058,198
1059,19
1060,29
1061,12
1062,20
1063,38
1064,19
1065,8
1066,9
1067,27
1068,206
1069,15
1070,19
1071,103
1072,3
1073,131
1074,11
1075,29
1076,3
1077,3
1078,13
1079,41
1080,4
1081,28
1082,51
1083,3
1084,6
1085,186
1086,1
1087,2
1088,5
1089,2
1090,6
1091,2
1092,35
1093,6
1094,48
1095,4
1096,5
1097,2
1098,30
1099,72
1100,3
1101,21
1102,64
1103,11
1104,51
1105,1
1106,10
1107,9
1108,8
1109,5
1110,15
1111,1
1112,803
1113,1
1114,98
1115,7
1116,70
1117,14
1118,15
1119,23
1120,13
1121,6
1122,29
1123,29
1124,2
1125,7
1126,22
1127,5
1128,59
1129,5
1130,14
1131,6
1132,21
1133,13
1134,5
1135,62
1136,4
1137,14
1138,9
1139,11
1140,19
1141,41
1142,5
1143,3
1144,17
1145,16
1146,1
1147,16
1148,27
1149,10
1150,9
1151,39
1152,8
1153,2
1154,1
1155,9
1156,9
1157,14
1158,1
1159,8
1160,7
1161,16
1162,36
1163,26
1164,8
1165,22
1166,2
1167,14
1168,6
1169,15
1170,18
1171,56
1172,61
1173,13
1174,7
1175,13
1176,21
1177,5
1178,4
1179,2
1180,70
1181,6
1182,3
1183,4
1184,17
1185,39
1186,9
1187,52
1188,4
1189,64
1190,12
1191,15
1192,4
1193,6
1194,3
1195,2
1196,32
1197,10
1198,20
1199,10
1200,10
1201,48
1202,21
1203,20
1204,6
1205,11
1206,6
1207,40
1208,5
1209,2
1210,10
1211,11
1212,49
1213,6
1214,45
1215,2
1216,9
1217,1
1218,16
1219,46
1220,12
1221,90
1222,5
1223,20
1224,22
1225,20
1226,6
1227,17
1228,3
1229,23
1230,20
1231,2
1232,75
1233,5
1234,62
1235,23
1236,21
1237,13
1238,12
1239,6
1240,8
1241,53
1242,59
1243,35
1244,4
1245,37
1246,14
1247,35
1248,11
1249,1
1250,10
1251,39
1252,5
1253,10
1254,7
1255,49
1256,19
1257,41
1258,18
1259,11
1260,2
1261,13
1262,18
1263,36
1264,3
1265,8
1266,2
1267,6
1268,2
1269,35
1270,9
1271,74
1272,13
1273,2
1274,67
1275,43
1276,9
1277,10
1278,18
1279,17
1280,5
1281,43
1282,7
1283,6
1284,10
1285,7
1286,2
1287,14
1288,75
1289,17
1290,13
1291,41
1292,31
1293,21
1294,3
1295,24
1296,13
1297,18
1298,2
1299,289
1300,83
1301,73
1302,8
1303,19
1304,5
1305,27
1306,5
1307,3
1308,17
1309,16
1310,1
1311,35
1312,49
1313,10
1314,1
1315,8
1316,44
1317,12
1318,13
1319,9
1320,21
1321,7
1322,26
1323,9
1324,2
1325,15
1326,8
1327,19
1328,83
1329,21
1330,18
1331,5
1332,13
1333,13
1334,10
1335,39
1336,45
1337,34
1338,7
1339,29
1340,25
1341,39
1342,25
1343,8
1344,17
1345,2
1346,8
1347,19
1348,18
1349,15
1350,60
1351,7
1352,6
1353,92
1354,35
1355,22
1356,12
1357,8
1358,19
1359,4
1360,7
1361,1
1362,5
1363,14
1364,22
1365,4
1366,3
1367,5
1368,22
1369,10
1370,1
1371,10
1372,3
1373,19
1374,59
1375,15
1376,2
1377,14
1378,36
1379,13
1380,4
1381,5
1382,14
1383,31
1384,44
1385,47
1386,7
1387,21
1388,12
1389,71
1390,24
1391,36
1392,18
1393,1
1394,4
1395,7
1396,24
1397,7
1398,7
1399,24
1400,35
1401,7
1402,16
1403,3
1404,8
1405,4
1406,16
1407,2
1408,10
1409,3
1410,17
1411,44
1412,3
1413,26
1414,4
1415,16
1416,12
1417,21
1418,2
1419,3
1420,16
1421,9
1422,6
1423,14
1424,28
1425,4
1426,8
1427,169
1428,5
1429,7
1430,9
1431,26
1432,1
1433,12
1434,13
1435,15
1436,4
1437,5
1438,6
1439,48
1440,2
1441,24
1442,13
1443,65
1444,7
1445,5
1446,12
1447,46
1448,5
1449,4
1450,4
1451,2
1452,16
1453,38
1454,25
1455,9
1456,37
1457,32
1458,120
1459,1
1460,15
1461,80
1462,16
1463,3
1464,5
1465,23
1466,53
1467,14
1468,8
1469,9
1470,30
1471,50
1472,29
1473,5
1474,17
1475,10
1476,45
1477,17
1478,9
1479,5
1480,7
1481,1
1482,7
1483,16
1484,8
1485,14
1486,29
1487,4
1488,2
1489,28
1490,2
1491,15
1492,2
1493,65
1494,3
1495,18
1496,28
1497,3
1498,12
1499,36
1500,6
1501,17
1502,217
1503,23
1504,14
1505,8
1506,22
1507,286
1508,21
1509,19
1510,56
1511,49
1512,31
1513,4
1514,30
1515,16
1516,6
1517,10
1518,9
1519,10
1520,107
1521,9
1522,9
1523,36
1524,1
1525,9
1526,25
1527,3
1528,10
1529,12
1530,13
1531,22
1532,7
1533,32
1534,20
1535,22
1536,18
1537,23
1538,10
1539,2
1540,8
1541,66
1542,6
1543,59
1544,45
1545,29
1546,12
1547,17
1548,468
1549,1
1550,119
1551,43
1552,30
1553,29
1554,23
1555,1
1556,5
1557,3
1558,2
1559,24
1560,79
1561,48
1562,73
1563,38
1564,88
1565,19
1566,18
1567,9
1568,1
1569,25
1570,6
1571,11
1572,87
1573,12
1574,5
1575,14
1576,51
1577,17
1578,6
1579,4
1580,15
1581,18
1582,22
1583,5
1584,21
1585,189
1586,45
1587,8
1588,15
1589,5
1590,17
1591,12
1592,10
1593,26
1594,20
1595,65
1596,15
1597,6
1598,6
1599,11
1600,2
1601,44
1602,3
1603,10
1604,52
1605,4
1606,11
1607,16
1608,140
1609,6
1610,6
1611,3
1612,194
1613,8
1614,6
1615,4
1616,3
1617,196
1618,6
1619,1
1620,11
1621,4
1622,3
1623,108
1624,32
1625,5
1626,53
1627,58
1628,4
1629,19
1630,11
1631,11
1632,206
1633,4
1634,75
1635,11
1636,13
1637,25
1638,6
1639,8
1640,5
1641,10
1642,44
1643,13
1644,3
1645,7
1646,4
1647,38
1648,44
1649,10
1650,7
1651,7
1652,1
1653,4
1654,6
1655,62
1656,33
1657,12
1658,25
1659,10
1660,59
1661,14
1662,77
1663,2
1664,15
1665,22
1666,1
1667,127
1668,4
1669,35
1670,3
1671,21
1672,45
1673,10
1674,190
1675,12
1676,63
1677,9
1678,21
1679,9
1680,20
1681,3
1682,13
1683,27
1684,11
1685,61
1686,33
1687,17
1688,7
1689,6
1690,31
1691,5
1692,19
1693,81
1694,4
1695,103
1696,7
1697,23
1698,108
1699,6
1700,2
1701,21
1702,3
1703,65
1704,7
1705,5
1706,77
1707,62
1708,13
1709,12
1710,3
1711,5
1712,9
1713,52
1714,3
1715,55
1716,4
1717,26
1718,17
1719,15
1720,33
1721,33
1722,6
1723,9
1724,36
1725,8
1726,24
1727,24
1728,3
1729,27
1730,12
1731,21
1732,28
1733,6
1734,27
1735,16
1736,16
1737,6
1738,12
1739,3
1740,82
1741,12
1742,67
1743,7
1744,19
1745,41
1746,23
1747,11
1748,4
1749,26
1750,17
1751,1
1752,3
1753,1
1754,54
1755,1
1756,3
1757,3
1758,2
1759,8
1760,10
1761,14
1762,13
1763,12
1764,112
1765,32
1766,30
1767,15
1768,35
1769,2
1770,7
1771,93
1772,30
1773,28
1774,49
1775,15
1776,15
1777,12
1778,14
1779,1
1780,26
1781,26
1782,27
1783,5
1784,40
1785,48
1786,10
1787,9
1788,12
1789,86
1790,1
1791,47
1792,18
1793,9
1794,24
1795,6
1796,24
1797,47
1798,29
1799,12
1800,33
1801,8
1802,21
1803,7
1804,20
1805,9
1806,31
1807,4
1808,1
1809,8
1810,44
1811,2
1812,56
1813,69
1814,62
1815,156
1816,11
1817,7
1818,59
1819,1
1820,2
1821,5
1822,9
1823,10
1824,41
1825,32
1826,9
1827,81
1828,35
1829,23
1830,13
1831,39
1832,2
1833,9
1834,28
1835,9
1836,3
1837,24
1838,6
1839,9
1840,21
1841,41
1842,34
1843,4
1844,6
1845,4
1846,46
1847,18
1848,9
1849,7
1850,3
1851,13
1852,13
1853,137
1854,3
1855,10
1856,9
1857,4
1858,3
1859,11
1860,7
1861,13
1862,2
1863,13
1864,37
1865,2
1866,5
1867,1
1868,1
1869,68
1870,13
1871,12
1872,35
1873,64
1874,4
1875,59
1876,9
1877,7
1878,19
1879,88
1880,21
1881,13
1882,2
1883,15
1884,17
1885,2
1886,44
1887,16
1888,6
1889,11
1890,39
1891,1
1892,4
1893,80
1894,30
1895,2
1896,2
1897,3
1898,21
1899,18
1900,17
1901,21
1902,28
1903,4
1904,56
1905,4
1906,19
1907,6
1908,6
1909,10
1910,13
1911,55
1912,47
1913,2
1914,159
1915,21
1916,28
1917,14
1918,26
1919,16
1920,119
1921,52
1922,20
1923,11
1924,14
1925,160
1926,19
1927,4
1928,16
1929,5
1930,42
1931,119
1932,2
1933,3
1934,2
1935,17
1936,3
1937,23
1938,5
1939,11
1940,30
1941,2
1942,61
1943,2
1944,5
1945,15
1946,18
1947,15
1948,30
1949,5
1950,30
1951,6
1952,6
1953,22
1954,29
1955,4
1956,20
1957,36
1958,16
1959,7
1960,3
1961,32
1962,1
1963,48
1964,15
1965,51
1966,8
1967,7
1968,28
1969,5
1970,103
1971,11
1972,36
1973,5
1974,18
1975,3
1976,62
1977,14
1978,5
1979,11
1980,19
1981,9
1982,11
1983,1
1984,6
1985,5
1986,29
1987,55
1988,31
1989,35
1990,11
1991,10
1992,8
1993,6
1994,9
1995,22
1996,19
1997,7
1998,26
1999,2
2000,16
2001,2
2002,11
2003,53
2004,14
2005,10
2006,1
2007,12
2008,53
2009,28
2010,401
2011,11
2012,8
2013,29
2014,13
2015,21
2016,42
2017,72
2018,6
2019,4
2020,8
2021,173
2022,5
2023,67
2024,23
2025,47
2026,28
2027,1
2028,7
2029,6
2030,19
2031,11
2032,5
2033,11
2034,57
2035,3
2036,34
2037,38
2038,9
2039,48
2040,18
2041,15
2042,57
2043,3
2044,2
2045,21
2046,70
2047,25
2048,10
2049,62
2050,24
2051,14
2052,3
2053,9
2054,29
2055,5
2056,10
2057,74
2058,3
2059,28
2060,3
2061,25
2062,19
2063,8
2064,9
2065,10
2066,14
2067,28
2068,5
2069,31
2070,30
2071,3
2072,22
2073,1
2074,22
2075,11
2076,3
2077,19
2078,6
2079,55
2080,3
2081,30
2082,1
2083,1
2084,31
2085,63
2086,11
2087,39
2088,3
2089,10
2090,14
2091,13
2092,69
2093,1
2094,22
2095,49
2096,4
2097,7
2098,11
2099,5
2100,33
2101,13
2102,2
2103,17
2104,36
2105,48
2106,95
2107,24
2108,47
2109,11
2110,29
2111,4
2112,5
2113,7
2114,11
2115,13
2116,21
2117,8
2118,6
2119,3
2120,45
2121,7
2122,118
2123,30
2124,26
2125,15
2126,22
2127,24
2128,6
2129,9
2130,9
2131,168
2132,47
2133,52
2134,10
2135,16
2136,1
2137,16
2138,11
2139,1
2140,7
2141,1
2142,7
2143,1
2144,36
2145,19
2146,17
2147,48
2148,157
2149,50
2150,34
2151,3
2152,16
2153,19
2154,3
2155,5
2156,11
2157,7
2158,5
2159,4
2160,40
2161,47
2162,84
2163,9
2164,11
2165,6
2166,4
2167,2
2168,18
2169,14
2170,8
2171,151
2172,5
2173,42
2174,65
2175,5
2176,1
2177,5
2178,11
2179,2
2180,16
2181,1
2182,12
2183,12
2184,65
2185,16
2186,16
2187,7
2188,4
2189,8
2190,1
2191,113
2192,22
2193,19
2194,15
2195,13
2196,29
2197,7
2198,18
2199,5
2200,3
2201,15
2202,7
2203,34
2204,12
2205,22
2206,1
2207,27
2208,2
2209,9
2210,12
2211,137
2212,23
2213,17
2214,11
2215,27
2216,11
2217,8
2218,8
2219,4
2220,17
2221,3
2222,14
2223,14
2224,7
2225,48
2226,11
2227,9
2228,110
2229,2
2230,80
2231,16
2232,22
2233,14
2234,21
2235,30
2236,4
2237,21
2238,7
2239,6
2240,20
2241,3
2242,23
2243,11
2244,35
2245,36
2246,9
2247,9
2248,2
2249,10
2250,8
2251,20
2252,6
2253,7
2254,1
2255,16
2256,25
2257,51
2258,267
2259,4
2260,7
2261,29
2262,30
2263,4
2264,25
2265,4
2266,14
2267,2
2268,29
2269,6
2270,6
2271,8
2272,18
2273,4
2274,3
2275,24
2276,21
2277,5
2278,38
2279,1
2280,28
2281,2
2282,10
2283,2
2284,60
2285,2
2286,8
2287,50
2288,121
2289,6
2290,6
2291,23
2292,6
2293,30
2294,25
2295,26
2296,16
2297,25
2298,4
2299,42
2300,8
2301,9
2302,4
2303,17
2304,2
2305,51
2306,3
2307,8
2308,5
2309,18
2310,7
2311,11
2312,3
2313,83
